"","V7118","V7202"
"1",0,0
"2",0,1
"3",0,0
"4",0,1
"5",0,1
"6",1,1
"7",1,0
"8",1,1
"9",1,1
"10",1,1
"11",1,1
"12",1,1
"13",0,1
"14",1,1
"15",0,0
"16",0,0
"17",1,1
"18",1,1
"19",0,0
"20",1,1
"21",1,1
"22",0,1
"23",1,1
"24",0,1
"25",1,1
"26",0,1
"27",0,1
"28",1,1
"29",1,0
"30",0,0
"31",1,1
"32",1,1
"33",0,1
"34",0,0
"35",0,1
"36",1,1
"37",1,1
"38",1,1
"39",0,0
"40",0,0
"41",0,0
"42",1,1
"43",0,0
"44",0,1
"45",1,1
"46",1,1
"47",1,1
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",1,1
"53",0,1
"54",1,1
"55",0,0
"56",0,0
"57",1,1
"58",1,1
"59",1,0
"60",1,1
"61",1,1
"62",0,1
"63",1,0
"64",1,1
"65",1,0
"66",0,0
"67",1,1
"68",0,0
"69",0,0
"70",0,1
"71",0,1
"72",0,0
"73",0,1
"74",0,1
"75",0,1
"76",1,1
"77",0,1
"78",0,0
"79",1,1
"80",0,0
"81",1,1
"82",1,1
"83",1,1
"84",0,1
"85",0,0
"86",0,1
"87",1,1
"88",0,1
"89",0,0
"90",1,1
"91",1,1
"92",1,1
"93",1,1
"94",0,0
"95",0,0
"96",1,0
"97",1,1
"98",0,1
"99",0,0
"100",0,0
"101",1,1
"102",1,1
"103",0,0
"104",1,1
"105",0,0
"106",1,1
"107",0,0
"108",1,1
"109",1,1
"110",0,0
"111",1,1
"112",1,1
"113",0,1
"114",1,1
"115",0,0
"116",0,1
"117",0,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",0,1
"123",1,0
"124",0,0
"125",1,1
"126",0,0
"127",1,1
"128",1,1
"129",0,0
"130",0,1
"131",1,1
"132",1,1
"133",0,1
"134",0,0
"135",0,1
"136",0,1
"137",1,1
"138",0,1
"139",1,1
"140",0,1
"141",1,1
"142",1,1
"143",0,0
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,1
"149",1,1
"150",0,0
"151",0,1
"152",1,1
"153",0,0
"154",0,1
"155",1,1
"156",0,1
"157",1,1
"158",0,0
"159",1,0
"160",0,1
"161",1,1
"162",1,0
"163",1,1
"164",0,0
"165",1,1
"166",0,0
"167",1,1
"168",0,1
"169",0,1
"170",0,1
"171",0,1
"172",1,1
"173",0,1
"174",1,1
"175",1,1
"176",1,1
"177",0,0
"178",1,1
"179",1,1
"180",0,0
"181",0,0
"182",0,0
"183",1,1
"184",1,1
"185",0,0
"186",1,1
"187",0,0
"188",0,1
"189",0,0
"190",1,1
"191",1,1
"192",1,1
"193",0,0
"194",0,0
"195",0,0
"196",1,1
"197",0,1
"198",1,1
"199",0,0
"200",1,1
"201",1,1
"202",1,1
"203",1,1
"204",0,1
"205",1,1
"206",1,0
"207",0,0
"208",1,1
"209",1,1
"210",0,0
"211",0,1
"212",1,1
"213",1,1
"214",1,1
"215",0,0
"216",0,0
"217",1,1
"218",0,1
"219",1,1
"220",1,1
"221",0,1
"222",0,1
"223",0,0
"224",1,1
"225",1,1
"226",1,1
"227",0,0
"228",0,1
"229",1,1
"230",1,1
"231",0,0
"232",1,1
"233",0,1
"234",1,1
"235",0,1
"236",0,1
"237",0,1
"238",0,1
"239",1,1
"240",0,0
"241",1,1
"242",0,1
"243",0,0
"244",1,1
"245",1,1
"246",0,0
"247",0,0
"248",0,1
"249",0,1
"250",1,1
"251",0,0
"252",1,1
"253",1,0
"254",1,1
"255",0,0
"256",1,1
"257",1,1
"258",0,1
"259",0,1
"260",1,1
"261",1,1
"262",1,1
"263",0,1
"264",1,1
"265",1,1
"266",0,0
"267",0,1
"268",0,1
"269",1,1
"270",1,1
"271",1,1
"272",1,1
"273",0,1
"274",0,1
"275",0,0
"276",1,1
"277",0,1
"278",1,1
"279",0,1
"280",0,0
"281",0,1
"282",1,1
"283",1,1
"284",0,0
"285",0,1
"286",0,1
"287",0,1
"288",0,1
"289",0,1
"290",0,1
"291",0,0
"292",0,1
"293",0,0
"294",0,1
"295",0,0
"296",1,1
"297",0,1
"298",1,1
"299",1,1
"300",0,1
"301",1,1
"302",1,1
"303",0,1
"304",0,1
"305",1,1
"306",0,1
"307",0,0
"308",1,1
"309",1,1
"310",1,1
"311",0,1
"312",1,1
"313",0,0
"314",1,1
"315",0,1
"316",0,0
"317",1,1
"318",0,1
"319",1,1
"320",0,1
"321",1,1
"322",1,1
"323",0,0
"324",1,1
"325",1,1
"326",1,1
"327",0,0
"328",1,1
"329",1,1
"330",1,1
"331",1,1
"332",1,1
"333",0,0
"334",0,0
"335",0,1
"336",1,1
"337",0,1
"338",1,1
"339",0,0
"340",1,0
"341",0,1
"342",1,0
"343",0,0
"344",0,0
"345",1,1
"346",0,1
"347",1,1
"348",0,1
"349",1,1
"350",1,1
"351",1,1
"352",1,0
"353",0,1
"354",0,0
"355",0,1
"356",1,1
"357",0,1
"358",0,1
"359",0,0
"360",1,1
"361",1,1
"362",1,1
"363",0,0
"364",0,1
"365",0,1
"366",1,1
"367",1,1
"368",0,0
"369",1,1
"370",1,1
"371",0,1
"372",1,1
"373",0,1
"374",0,1
"375",0,1
"376",0,1
"377",0,0
"378",0,0
"379",1,1
"380",1,1
"381",0,0
"382",1,1
"383",0,0
"384",1,0
"385",1,1
"386",0,1
"387",0,0
"388",0,1
"389",1,1
"390",0,0
"391",0,1
"392",1,1
"393",0,1
"394",0,0
"395",1,1
"396",1,1
"397",0,0
"398",0,1
"399",1,1
"400",1,1
"401",1,1
"402",1,1
"403",0,1
"404",0,1
"405",0,0
"406",1,1
"407",0,0
"408",0,0
"409",1,1
"410",0,1
"411",1,0
"412",1,1
"413",0,0
"414",0,0
"415",1,1
"416",1,1
"417",0,1
"418",1,1
"419",1,0
"420",1,1
"421",1,1
"422",1,1
"423",1,0
"424",0,0
"425",0,1
"426",1,1
"427",1,1
"428",0,1
"429",0,1
"430",1,1
"431",1,1
"432",1,1
"433",0,1
"434",0,1
"435",0,1
"436",0,1
"437",1,0
"438",1,1
"439",1,1
"440",0,1
"441",1,1
"442",0,1
"443",1,1
"444",0,1
"445",0,1
"446",0,0
"447",1,1
"448",1,1
"449",1,1
"450",1,1
"451",0,1
"452",1,1
"453",1,1
"454",0,0
"455",0,0
"456",0,1
"457",0,0
"458",0,0
"459",0,0
"460",0,1
"461",1,1
"462",1,1
"463",0,1
"464",0,1
"465",1,1
"466",1,1
"467",0,1
"468",0,0
"469",0,0
"470",1,1
"471",0,1
"472",0,0
"473",1,0
"474",1,0
"475",0,1
"476",0,1
"477",0,0
"478",1,1
"479",1,0
"480",0,0
"481",1,0
"482",1,1
"483",1,1
"484",1,1
"485",0,1
"486",0,0
"487",0,1
"488",0,1
"489",1,1
"490",1,1
"491",0,1
"492",0,0
"493",0,0
"494",1,0
"495",0,1
"496",1,1
"497",1,1
"498",0,0
"499",0,0
"500",0,1
"501",0,0
"502",0,0
"503",1,1
"504",1,1
"505",1,1
"506",1,1
"507",0,0
"508",0,1
"509",1,1
"510",0,0
"511",0,0
"512",0,0
"513",0,1
"514",0,1
"515",0,1
"516",0,1
"517",0,1
"518",1,1
"519",0,1
"520",0,0
"521",0,1
"522",1,1
"523",0,0
"524",1,1
"525",0,1
"526",0,1
"527",1,1
"528",0,1
"529",1,1
"530",1,1
"531",1,1
"532",1,1
"533",1,1
"534",1,1
"535",0,0
"536",1,1
"537",0,0
"538",1,1
"539",0,0
"540",0,1
"541",0,1
"542",1,1
"543",0,1
"544",1,1
"545",0,1
"546",1,1
"547",0,0
"548",1,1
"549",0,0
"550",1,1
"551",0,0
"552",0,1
"553",0,1
"554",1,1
"555",0,1
"556",0,0
"557",1,1
"558",0,1
"559",1,1
"560",0,1
"561",0,1
"562",1,1
"563",0,0
"564",0,1
"565",0,1
"566",1,1
"567",1,0
"568",0,1
"569",1,1
"570",0,1
"571",0,0
"572",0,1
"573",0,0
"574",1,1
"575",0,0
"576",0,1
"577",0,0
"578",0,1
"579",0,1
"580",1,1
"581",1,1
"582",0,0
"583",1,1
"584",0,0
"585",0,0
"586",0,1
"587",0,1
"588",0,1
"589",0,1
"590",0,0
"591",0,0
"592",0,1
"593",1,1
"594",0,0
"595",1,1
"596",1,1
"597",0,0
"598",1,1
"599",1,1
"600",1,1
"601",1,1
"602",1,0
"603",0,1
"604",1,1
"605",1,0
"606",0,1
"607",1,1
"608",0,1
"609",0,1
"610",1,1
"611",1,1
"612",1,1
"613",0,1
"614",1,1
"615",1,1
"616",0,1
"617",1,1
"618",0,1
"619",1,1
"620",0,0
"621",0,0
"622",0,1
"623",1,1
"624",0,0
"625",1,1
"626",0,0
"627",0,1
"628",0,1
"629",0,1
"630",0,1
"631",1,1
"632",0,1
"633",1,1
"634",1,1
"635",0,1
"636",1,1
"637",0,1
"638",1,1
"639",1,1
"640",0,1
"641",0,0
"642",1,1
"643",0,1
"644",0,1
"645",0,0
"646",1,1
"647",1,1
"648",1,1
"649",1,1
"650",0,1
"651",1,1
"652",1,1
"653",1,1
"654",1,1
"655",1,1
"656",1,1
"657",0,0
"658",0,0
"659",0,0
"660",0,0
"661",1,1
"662",0,0
"663",0,1
"664",1,1
"665",1,1
"666",0,0
"667",0,0
"668",1,1
"669",0,0
"670",0,1
"671",1,0
"672",1,1
"673",0,0
"674",1,1
"675",0,1
"676",0,1
"677",1,1
"678",1,1
"679",1,1
"680",0,1
"681",0,0
"682",0,1
"683",1,1
"684",1,1
"685",0,0
"686",0,1
"687",1,1
"688",0,0
"689",1,1
"690",1,1
"691",0,0
"692",1,1
"693",0,0
"694",1,1
"695",1,1
"696",0,0
"697",0,0
"698",1,1
"699",0,1
"700",0,1
"701",1,0
"702",0,0
"703",0,1
"704",1,1
"705",1,1
"706",0,1
"707",1,1
"708",0,0
"709",1,1
"710",0,0
"711",1,1
"712",1,1
"713",1,1
"714",0,1
"715",1,1
"716",0,0
"717",0,1
"718",1,1
"719",0,0
"720",1,1
"721",0,1
"722",0,1
"723",1,1
"724",0,0
"725",1,1
"726",1,1
"727",0,0
"728",0,1
"729",1,1
"730",1,0
"731",1,1
"732",0,1
"733",1,1
"734",1,1
"735",0,0
"736",1,1
"737",0,1
"738",1,1
"739",0,1
"740",0,1
"741",0,1
"742",1,1
"743",1,1
"744",0,0
"745",0,1
"746",0,0
"747",0,1
"748",1,1
"749",0,0
"750",0,1
"751",1,1
"752",0,1
"753",1,0
"754",0,1
"755",1,0
"756",1,1
"757",1,1
"758",1,1
"759",0,0
"760",1,1
"761",1,1
"762",0,0
"763",1,1
"764",1,0
"765",1,1
"766",0,0
"767",0,1
"768",0,0
"769",0,0
"770",0,1
"771",1,1
"772",0,1
"773",0,0
"774",1,1
"775",1,1
"776",1,0
"777",0,0
"778",0,1
"779",0,1
"780",1,1
"781",1,1
"782",1,1
"783",1,1
"784",0,0
"785",1,1
"786",0,0
"787",0,0
"788",1,1
"789",1,1
"790",1,1
"791",0,1
"792",0,1
"793",1,1
"794",1,1
"795",0,0
"796",0,1
"797",1,1
"798",1,0
"799",0,1
"800",1,1
"801",1,1
"802",0,1
"803",1,1
"804",1,1
"805",0,1
"806",0,0
"807",0,1
"808",0,1
"809",1,1
"810",1,1
"811",0,0
"812",0,1
"813",1,1
"814",1,1
"815",0,0
"816",1,0
"817",0,0
"818",0,0
"819",1,1
"820",1,1
"821",0,0
"822",1,1
"823",1,1
"824",1,1
"825",1,1
"826",1,1
"827",1,1
"828",1,1
"829",1,1
"830",0,0
"831",1,1
"832",1,0
"833",0,1
"834",0,1
"835",1,1
"836",0,1
"837",0,0
"838",0,1
"839",1,1
"840",0,1
"841",0,0
"842",1,1
"843",0,1
"844",1,0
"845",1,1
"846",1,1
"847",1,1
"848",1,1
"849",0,0
"850",1,1
"851",1,1
"852",0,1
"853",0,0
"854",1,1
"855",1,1
"856",0,0
"857",1,1
"858",0,0
"859",1,1
"860",0,0
"861",0,1
"862",1,1
"863",0,0
"864",1,1
"865",1,1
"866",0,1
"867",1,1
"868",1,1
"869",1,1
"870",0,0
"871",0,0
"872",0,0
"873",0,0
"874",0,1
"875",1,1
"876",1,1
"877",0,1
"878",1,1
"879",1,0
"880",1,1
"881",1,1
"882",0,0
"883",1,1
"884",0,0
"885",0,0
"886",0,1
"887",1,1
"888",0,1
"889",0,0
"890",1,0
"891",0,1
"892",1,1
"893",0,1
"894",0,1
"895",0,0
"896",1,1
"897",1,1
"898",1,1
"899",1,1
"900",1,1
"901",0,1
"902",0,0
"903",1,1
"904",0,1
"905",1,1
"906",1,1
"907",0,0
"908",1,1
"909",0,0
"910",0,0
"911",1,1
"912",0,1
"913",0,1
"914",1,1
"915",1,1
"916",1,1
"917",0,0
"918",0,0
"919",1,0
"920",0,1
"921",0,0
"922",0,1
"923",0,1
"924",1,1
"925",0,1
"926",0,1
"927",1,1
"928",1,1
"929",0,1
"930",1,1
"931",0,0
"932",1,1
"933",1,1
"934",1,1
"935",1,1
"936",1,1
"937",1,1
"938",0,0
"939",1,1
"940",0,0
"941",0,1
"942",1,1
"943",0,1
"944",1,1
"945",0,0
"946",1,1
"947",0,0
"948",0,0
"949",0,1
"950",0,0
"951",0,1
"952",0,1
"953",1,1
"954",1,0
"955",1,1
"956",1,1
"957",1,1
"958",1,1
"959",1,1
"960",0,1
"961",1,1
"962",0,0
"963",0,0
"964",1,1
"965",1,1
"966",0,0
"967",1,1
"968",1,1
"969",0,1
"970",1,1
"971",0,1
"972",1,1
"973",0,1
"974",0,1
"975",1,1
"976",1,0
"977",0,0
"978",1,1
"979",1,1
"980",0,1
"981",0,0
"982",0,1
"983",1,1
"984",1,1
"985",1,1
"986",0,0
"987",0,0
"988",0,0
"989",1,1
"990",0,0
"991",0,1
"992",1,1
"993",1,1
"994",1,1
"995",0,0
"996",0,0
"997",0,0
"998",0,0
"999",1,1
"1000",0,1
"1001",1,1
"1002",0,0
"1003",0,0
"1004",1,1
"1005",1,1
"1006",1,0
"1007",1,1
"1008",1,1
"1009",0,1
"1010",1,0
"1011",1,1
"1012",1,0
"1013",0,0
"1014",1,1
"1015",0,0
"1016",0,0
"1017",0,1
"1018",0,1
"1019",0,0
"1020",0,1
"1021",0,1
"1022",0,1
"1023",1,1
"1024",0,1
"1025",0,0
"1026",1,1
"1027",0,0
"1028",1,1
"1029",1,1
"1030",1,1
"1031",0,1
"1032",0,0
"1033",0,1
"1034",1,1
"1035",0,1
"1036",0,0
"1037",1,1
"1038",1,1
"1039",1,1
"1040",1,1
"1041",0,0
"1042",0,0
"1043",1,0
"1044",1,1
"1045",0,1
"1046",0,0
"1047",0,0
"1048",1,1
"1049",1,1
"1050",0,0
"1051",1,1
"1052",0,0
"1053",1,1
"1054",0,0
"1055",1,1
"1056",1,1
"1057",0,0
"1058",1,1
"1059",1,1
"1060",0,1
"1061",1,1
"1062",0,0
"1063",0,1
"1064",0,1
"1065",1,1
"1066",1,1
"1067",1,1
"1068",1,1
"1069",0,1
"1070",1,0
"1071",0,0
"1072",1,1
"1073",0,0
"1074",1,1
"1075",1,1
"1076",0,0
"1077",0,1
"1078",1,1
"1079",1,1
"1080",0,1
"1081",0,0
"1082",0,1
"1083",0,1
"1084",1,1
"1085",0,1
"1086",1,1
"1087",0,1
"1088",1,1
"1089",1,1
"1090",0,0
"1091",1,1
"1092",1,1
"1093",1,1
"1094",1,1
"1095",1,1
"1096",1,1
"1097",0,0
"1098",0,1
"1099",1,1
"1100",0,0
"1101",0,1
"1102",1,1
"1103",0,1
"1104",1,1
"1105",0,0
"1106",1,0
"1107",0,1
"1108",1,1
"1109",1,0
"1110",1,1
"1111",0,0
"1112",1,1
"1113",0,0
"1114",1,1
"1115",0,1
"1116",0,1
"1117",0,1
"1118",0,1
"1119",1,1
"1120",0,1
"1121",1,1
"1122",1,1
"1123",1,1
"1124",0,0
"1125",1,1
"1126",1,1
"1127",0,0
"1128",0,0
"1129",0,0
"1130",1,1
"1131",1,1
"1132",0,0
"1133",1,1
"1134",0,0
"1135",0,1
"1136",0,0
"1137",1,1
"1138",1,1
"1139",1,1
"1140",0,0
"1141",0,0
"1142",0,0
"1143",1,1
"1144",0,1
"1145",1,1
"1146",0,0
"1147",1,1
"1148",1,1
"1149",1,1
"1150",1,1
"1151",0,1
"1152",1,1
"1153",1,0
"1154",0,0
"1155",1,1
"1156",1,1
"1157",0,0
"1158",0,1
"1159",1,1
"1160",1,1
"1161",1,1
"1162",0,0
"1163",0,0
"1164",1,1
"1165",0,1
"1166",1,1
"1167",1,1
"1168",0,1
"1169",0,1
"1170",0,0
"1171",1,1
"1172",1,1
"1173",1,1
"1174",0,0
"1175",0,1
"1176",1,1
"1177",1,1
"1178",0,0
"1179",1,1
"1180",0,1
"1181",1,1
"1182",0,1
"1183",0,1
"1184",0,1
"1185",0,1
"1186",1,1
"1187",0,0
"1188",1,1
"1189",0,1
"1190",0,0
"1191",1,1
"1192",1,1
"1193",0,0
"1194",0,0
"1195",0,1
"1196",0,1
"1197",1,1
"1198",0,0
"1199",1,1
"1200",1,0
"1201",1,1
"1202",0,0
"1203",1,1
"1204",1,1
"1205",0,1
"1206",0,1
"1207",1,1
"1208",1,1
"1209",1,1
"1210",0,1
"1211",1,1
"1212",1,1
"1213",0,0
"1214",0,1
"1215",0,1
"1216",1,1
"1217",1,1
"1218",1,1
"1219",1,1
"1220",0,1
"1221",0,1
"1222",0,0
"1223",1,1
"1224",0,1
"1225",1,1
"1226",0,1
"1227",0,0
"1228",0,1
"1229",1,1
"1230",1,1
"1231",0,0
"1232",0,1
"1233",0,1
"1234",0,1
"1235",0,1
"1236",0,1
"1237",0,1
"1238",0,0
"1239",0,1
"1240",0,0
"1241",0,1
"1242",0,0
"1243",1,1
"1244",0,1
"1245",1,1
"1246",1,1
"1247",0,1
"1248",1,1
"1249",1,1
"1250",0,1
"1251",0,1
"1252",1,1
"1253",0,1
"1254",0,0
"1255",1,1
"1256",1,1
"1257",1,1
"1258",0,1
"1259",1,1
"1260",0,0
"1261",1,1
"1262",0,1
"1263",0,0
"1264",1,1
"1265",0,1
"1266",1,1
"1267",0,1
"1268",1,1
"1269",1,1
"1270",0,0
"1271",1,1
"1272",1,1
"1273",1,1
"1274",0,0
"1275",1,1
"1276",1,1
"1277",1,1
"1278",1,1
"1279",1,1
"1280",0,0
"1281",0,0
"1282",0,1
"1283",1,1
"1284",0,1
"1285",1,1
"1286",0,0
"1287",1,0
"1288",0,1
"1289",1,0
"1290",0,0
"1291",0,0
"1292",1,1
"1293",0,1
"1294",1,1
"1295",0,1
"1296",1,1
"1297",1,1
"1298",1,1
"1299",1,0
"1300",0,1
"1301",0,0
"1302",0,1
"1303",1,1
"1304",0,1
"1305",0,1
"1306",0,0
"1307",1,1
"1308",1,1
"1309",1,1
"1310",0,0
"1311",0,1
"1312",0,1
"1313",1,1
"1314",1,1
"1315",0,0
"1316",1,1
"1317",1,1
"1318",0,1
"1319",1,1
"1320",0,1
"1321",0,1
"1322",0,1
"1323",0,1
"1324",0,0
"1325",0,0
"1326",1,1
"1327",1,1
"1328",0,0
"1329",1,1
"1330",0,0
"1331",1,0
"1332",1,1
"1333",0,1
"1334",0,0
"1335",0,1
"1336",1,1
"1337",0,0
"1338",0,1
"1339",1,1
"1340",0,1
"1341",0,0
"1342",1,1
"1343",1,1
"1344",0,0
"1345",0,1
"1346",1,1
"1347",1,1
"1348",1,1
"1349",1,1
"1350",0,1
"1351",0,1
"1352",0,0
"1353",1,1
"1354",0,0
"1355",0,0
"1356",1,1
"1357",0,1
"1358",1,0
"1359",1,1
"1360",0,0
"1361",0,0
"1362",1,1
"1363",1,1
"1364",0,1
"1365",1,1
"1366",1,0
"1367",1,1
"1368",1,1
"1369",1,1
"1370",1,0
"1371",0,0
"1372",0,1
"1373",1,1
"1374",1,1
"1375",0,1
"1376",0,1
"1377",1,1
"1378",1,1
"1379",1,1
"1380",0,1
"1381",0,1
"1382",0,1
"1383",0,1
"1384",1,0
"1385",1,1
"1386",1,1
"1387",0,1
"1388",1,1
"1389",0,1
"1390",1,1
"1391",0,1
"1392",0,1
"1393",0,0
"1394",1,1
"1395",1,1
"1396",1,1
"1397",1,1
"1398",0,1
"1399",1,1
"1400",1,1
"1401",0,0
"1402",0,0
"1403",0,1
"1404",0,0
"1405",0,0
"1406",0,0
"1407",0,1
"1408",1,1
"1409",1,1
"1410",0,1
"1411",0,1
"1412",1,1
"1413",1,1
"1414",0,1
"1415",0,0
"1416",0,0
"1417",1,1
"1418",0,1
"1419",0,0
"1420",1,0
"1421",1,0
"1422",0,1
"1423",0,1
"1424",0,0
"1425",1,1
"1426",1,0
"1427",0,0
"1428",1,0
"1429",1,1
"1430",1,1
"1431",1,1
"1432",0,1
"1433",0,0
"1434",0,1
"1435",0,1
"1436",1,1
"1437",1,1
"1438",0,1
"1439",0,0
"1440",0,0
"1441",1,0
"1442",0,1
"1443",1,1
"1444",1,1
"1445",0,0
"1446",0,0
"1447",0,1
"1448",0,0
"1449",0,0
"1450",1,1
"1451",1,1
"1452",1,1
"1453",1,1
"1454",0,0
"1455",0,1
"1456",1,1
"1457",0,0
"1458",0,0
"1459",0,0
"1460",0,1
"1461",0,1
"1462",0,1
"1463",0,1
"1464",0,1
"1465",1,1
"1466",0,1
"1467",0,0
"1468",0,1
"1469",1,1
"1470",0,0
"1471",1,1
"1472",0,1
"1473",0,1
"1474",1,1
"1475",0,1
"1476",1,1
"1477",1,1
"1478",1,1
"1479",1,1
"1480",1,1
"1481",1,1
"1482",0,0
"1483",1,1
"1484",0,0
"1485",1,1
"1486",0,0
"1487",0,1
"1488",0,1
"1489",1,1
"1490",0,1
"1491",1,1
"1492",0,1
"1493",1,1
"1494",0,0
"1495",1,1
"1496",0,0
"1497",1,1
"1498",0,0
"1499",0,1
"1500",0,1
"1501",1,1
"1502",0,1
"1503",0,0
"1504",1,1
"1505",0,1
"1506",1,1
"1507",0,1
"1508",0,1
"1509",1,1
"1510",0,0
"1511",0,1
"1512",0,1
"1513",1,1
"1514",1,0
"1515",0,1
"1516",1,1
"1517",0,1
"1518",0,0
"1519",0,1
"1520",0,0
"1521",1,1
"1522",0,0
"1523",0,1
"1524",0,0
"1525",0,1
"1526",0,1
"1527",1,1
"1528",1,1
"1529",0,0
"1530",1,1
"1531",0,0
"1532",0,0
"1533",0,1
"1534",0,1
"1535",0,1
"1536",0,1
"1537",0,0
"1538",0,0
"1539",0,1
"1540",1,1
"1541",0,0
"1542",1,1
"1543",1,1
"1544",0,0
"1545",1,1
"1546",1,1
"1547",1,1
"1548",1,1
"1549",1,0
"1550",0,1
"1551",1,1
"1552",1,0
"1553",0,1
"1554",1,1
"1555",0,1
"1556",0,1
"1557",1,1
"1558",1,1
"1559",1,1
"1560",0,1
"1561",1,1
"1562",1,1
"1563",0,1
"1564",1,1
"1565",0,1
"1566",1,1
"1567",0,0
"1568",0,0
"1569",0,1
"1570",1,1
"1571",0,0
"1572",1,1
"1573",0,0
"1574",0,1
"1575",0,1
"1576",0,1
"1577",0,1
"1578",1,1
"1579",0,1
"1580",1,1
"1581",1,1
"1582",0,1
"1583",1,1
"1584",0,1
"1585",1,1
"1586",1,1
